Fresh Beef,160,
Medium,160,
Fresh Beef,190,
Well Done,190,
Ground Beef,170,
Fresh Veal,170,
Fresh Pork,190,
Chicken,187.5,
Turkey,187.5,
Boneless Turkey Roast,177.5,
Stuffing,165,
Cured Pork,190,
Raw Ham,190,
Cooked Ham,170,
Pork Shoulder,170,
Deer,165,
Rabbit,182.5,
Duck,182.5,
Goose,187.5,
Reheated Foods,162.5,
Frozen Convenience Foods,162.5,
Fresh Vegetables and Fruits,152.5,
Fish and Seafood,160,
